Treatment,Depth ,Timepoints,CO2_produced,CO2_produced_sd,Obs_numb,DOC_conc,DOC_conc_sd,delta13C_total,delta13C_total_SD,delta13C_soil
Control,Surface,1,1562.4358,472.6250596,7,,,-7.266218,0.462454322,
Control,Surface,3,1992.2232,364.9698701,7,,,-7.913672,3.678134431,
Control,Surface,7,2408.0622,815.5735903,7,311.293644,7.238924486,-8.541362,1.905494337,
Control,Surface,14,2809.9528,202.5791187,6,602.0887875,5.768222894,-9.149288,0.013,
Control,Surface,28,4000.13371,501.1570513,5,419.34867,6.891319645,-10.18066667,1.514198651,
Control,Surface,42,5933.746039,1179.355367,4,491.5391325,10.50460826,-15.40366667,2.344952641,
Control,Surface,56,7720.515303,2340.539281,3,474.2817675,6.474107694,-16.968,1.125659214,
Control,Surface,70,8356.120686,826.3941828,2,416.5293975,11.30079633,-17.857,0.069,
Glucose,Surface,1,4808.12,0,7,,,-7.822898,0,
Glucose,Surface,3,5403.88,958.6125723,7,,,-8.210792,1.374934019,
Glucose,Surface,7,5978.28,179.3287156,7,393.71892,10.41389118,-8.585682,2.576643338,-27.44180973
Glucose,Surface,14,6531.32,2421.3028,6,367.1494125,8.045788347,-8.947568,2.7395,
Glucose,Surface,28,7517.936184,0,5,395.940165,6.826051404,-9.791,0,
Glucose,Surface,42,11908.22227,2492.652942,4,435.06825,5.646306249,-12.15966667,0.535060329,
Glucose,Surface,56,11929.65921,897.7499263,3,551.48427,6.786015566,-13.52566667,0.957145873,
Glucose,Surface,70,12718.53875,655.9704797,2,489.232455,12.46104595,-13.124,0.261,-21.696161
Control,Deep,1,1393.538,245.65,7,,,-3.941264,1.43,
Control,Deep,3,1560.152,230.653,7,,,-4.422456,2.21,
Control,Deep,7,1720.842,340.77,7,137.496391,2.63444092,-4.891576,0.4,
Control,Deep,14,1875.608,150.234,6,135.917716,2.473969846,-5.348624,0.31,
Control,Deep,28,2478.110701,0,5,126.409582,1.522528167,-5.658333333,0.298286589,
Control,Deep,42,2771.796831,958.6125723,4,149.710825,2.600782096,-10.94833333,3.43457725,
Control,Deep,56,3302.361189,179.3287156,3,138.010588,2.247273358,-11.34533333,2.520565325,
Control,Deep,70,4030.145431,2421.3028,2,174.211861,1.726353243,-13.8765,0.9355,
Glucose,Deep,1,4744.229,222.54,7,,,-6.569153,0,
Glucose,Deep,3,5026.516,127.98,7,,,-6.731412,1.2,
Glucose,Deep,7,5295.861,310.598,7,172.001716,2.48761606,-6.882777,1.1,-25.74366237
Glucose,Deep,14,5552.264,246.944,6,163.530997,3.940088061,-7.023248,1.32,
Glucose,Deep,28,5697.939657,0,5,157.847767,2.458549386,-7.448,0,
Glucose,Deep,42,8429.006295,586.988773,4,191.622391,2.186856126,-7.702,0.487937154,
Glucose,Deep,56,5910.1654,1177.60061,3,166.949956,2.417538237,-7.213333333,1.865949326,
Glucose,Deep,70,7140.645974,649.5393966,2,220.940641,7.381177494,-4.266,1.4,-25.41875368
